308 Occurance | x = 1
247 Occurance | \frac { 1 } { a b }
222 Occurance | \ a n g l e A C B = 9 0 ^ { \circ }
170 Occurance | 2 \sqrt { 3 }
169 Occurance | x \geqslant 3
164 Occurance | x > 1
158 Occurance | a b = - 5
156 Occurance | A C \perp B C
146 Occurance | 2 x
137 Occurance | \frac { x } { x + 2 }
136 Occurance | a = 1
133 Occurance | y = 2 x + 4
122 Occurance | x ^ { 2 } - 3 x + 2 = 0
114 Occurance | ( x + 2 ) ^ { 2 } = 2 5
111 Occurance | \frac { ( a - b ) ^ { 2 } } { a b ( a - b ) ^ { 2 } }
111 Occurance | \tan A = \sqrt { 3 }
110 Occurance | x = 3
108 Occurance | A B \| C D
108 Occurance | f ( x )
105 Occurance | x = 2
105 Occurance | x = 0
105 Occurance | b ^ { 2 } - 4 a c
102 Occurance | A = \frac { \pi } { 3 }
102 Occurance | a = 2
102 Occurance | \frac { \sqrt { 2 } } { 2 }
98 Occurance | e r r o r m a t h p i x
96 Occurance | x > 2
94 Occurance | x + y = 1
92 Occurance | x > 0
92 Occurance | m = - 3
92 Occurance | a = 3
91 Occurance | A = 6 0 ^ { \circ }
91 Occurance | y = \frac { 1 2 } { x }
91 Occurance | B C \perp P D
89 Occurance | 2 a ( a + b )
88 Occurance | x _ { 1 } = 3
85 Occurance | x < \frac { 5 } { 3 }
85 Occurance | 2 \vec { a } - 3 \vec { b }
85 Occurance | \Delta = b ^ { 2 } - 4 a c
84 Occurance | x + 5 < 4 x - 1
82 Occurance | \frac { a } { \sin A } = \frac { c } { \sin C }
81 Occurance | x _ { 1 } = 1
81 Occurance | A E = D F
81 Occurance | \sin A = \sqrt { 3 } \cos A
80 Occurance | \frac { x } { ( x + 2 ) ^ { 2 } }
79 Occurance | y = \frac { 6 } { x }
79 Occurance | a = 2 \sqrt { 3 }
78 Occurance | x = \frac { 1 } { 2 }
77 Occurance | x > - 1
77 Occurance | m = - 2
77 Occurance | x = - 1
76 Occurance | m x ^ { 2 } + 4 x - 1 = 0
76 Occurance | x _ { 2 } = - 7
75 Occurance | a + 1
75 Occurance | | 2 \vec { a } - 3 \vec { b } |
74 Occurance | B F = C E
74 Occurance | \frac { 2 } { 1 2 } = \frac { 1 } { 6 }
74 Occurance | 1 0 0 0 ( 1 + x ) ^ { 2 } = 1 4 4 0
74 Occurance | \sin A \sin C = \sqrt { 3 } \sin C \cos A
73 Occurance | y = - \frac { 5 } { x }
73 Occurance | 2 x - 1 \geqslant x + 2
72 Occurance | x _ { 2 } = 2
72 Occurance | 4 < x < 9
72 Occurance | y = k x + b
70 Occurance | \sin \theta
70 Occurance | y = - \frac { 3 } { 8 } x ^ { 2 } + \frac { 3 } { 4 } x + 3
69 Occurance | 6 ( 1 + x ) ^ { 2 } = 1 7 . 3 4
69 Occurance | - 3 < x < 0
68 Occurance | A = \frac { 1 } { a b }
68 Occurance | a + b + c = 1
68 Occurance | x + 2 = \pm 5
68 Occurance | 3 \sqrt { 1 0 }
67 Occurance | y = 2
67 Occurance | \ a n g l e B = \ a n g l e C
67 Occurance | ( x - 2 ) ( x + 3 ) = 0
67 Occurance | k = 1 2
66 Occurance | P A \perp B C
66 Occurance | \frac { \sqrt { 3 } } { 3 }
66 Occurance | \sqrt { 3 }
66 Occurance | x = 9
66 Occurance | a ^ { 2 } = b ^ { 2 } + c ^ { 2 } - 2 b c \cos A
65 Occurance | m + 2 = 0
65 Occurance | f ^ { \prime } ( x ) > 0
65 Occurance | x < 4
64 Occurance | 2 \sqrt { 2 }
64 Occurance | x \geqslant - 2
63 Occurance | b = 4
63 Occurance | y = 1
62 Occurance | B D = E C
62 Occurance | B ( 0 , 1 , 0 )
62 Occurance | B E = C F
62 Occurance | a > 0
61 Occurance | f ^ { \prime } ( x ) = 0
61 Occurance | a > - 2
60 Occurance | A B = \sqrt { 2 }
60 Occurance | a < 0
60 Occurance | 0 < x < 1
60 Occurance | x \leq 4
60 Occurance | x _ { 1 } = 2
59 Occurance | 1 - x < 2
59 Occurance | x ^ { 2 } - 1 2 x + 3 2 = 0
59 Occurance | x ^ { 2 } - 2 x + a ^ { 2 } = 0
59 Occurance | f ^ { \prime } ( x ) < 0
59 Occurance | x ^ { 2 }
59 Occurance | - \frac { 1 } { 5 }
58 Occurance | \langle \vec { a } , \vec { b } \rangle = 4 5 ^ { \circ }
58 Occurance | a = - \frac { 4 } { 9 }
58 Occurance | b = - \frac { 5 } { a }
58 Occurance | a \geqslant 0
57 Occurance | x ^ { 2 } + y ^ { 2 }
57 Occurance | f ( x ) = e ^ { x } ( x + 2 )
57 Occurance | \frac { \pi } { 4 }
56 Occurance | 4 \leq x \leq 7
56 Occurance | 9 0 ^ { \circ }
56 Occurance | 3 x ^ { 2 } - 6 x - 9
56 Occurance | \cos \langle \vec { a } , \vec { b } \rangle
56 Occurance | x \leq 3
55 Occurance | a = 0 . 0 2
55 Occurance | \cos \theta
55 Occurance | x = 6
55 Occurance | b = 2
55 Occurance | 4 x + 8 \geqslant 2 x + 4
55 Occurance | x + z = 0
55 Occurance | B E = D F
54 Occurance | f ^ { \prime } ( x )
54 Occurance | \vec { b } - \frac { 1 } { 2 } \vec { a }
54 Occurance | A \subseteq B
54 Occurance | y = 0
54 Occurance | 2 x + 4
54 Occurance | A B \perp B C
53 Occurance | f ( x ) + 1 = 0
53 Occurance | m x ^ { 2 }
53 Occurance | A C = 3 \sqrt { 2 }
53 Occurance | k = 0
52 Occurance | a \sin C = \sqrt { 3 } c \cos A
52 Occurance | x + m - 1 < 0
52 Occurance | \sqrt { 2 }
51 Occurance | e ^ { x }
51 Occurance | x > 7
51 Occurance | - 3 x < - 6
51 Occurance | x ( 3 6 - 3 x ) = 9 6
51 Occurance | \frac { \pi } { 3 }
51 Occurance | A = - \frac { 1 } { 5 }
51 Occurance | \frac { 1 } { 6 }
51 Occurance | z = 1
50 Occurance | ( 1 + x ) ^ { 2 }
50 Occurance | 3 x < 5
50 Occurance | y = - 4
50 Occurance | \ a n g l e 1 = \ a n g l e 2
50 Occurance | P A = P D
50 Occurance | c = 3
50 Occurance | x _ { 1 } + x _ { 2 } = - 3
49 Occurance | \frac { \sqrt { 6 } } { 6 }
49 Occurance | - 1 < x \leq 4
49 Occurance | 2 x \geqslant - 4
49 Occurance | 1 . 5 \times 4 = 6
49 Occurance | b = \frac { 1 } { 3 }
49 Occurance | 2 - x
49 Occurance | x _ { 1 } = 0 . 7
49 Occurance | A C \perp B D
49 Occurance | x ( x + 3 ) - 2 ( x + 3 ) = 0
49 Occurance | \sin C
49 Occurance | \frac { a _ { n } } { 2 n - 1 }
49 Occurance | a > 6
49 Occurance | x _ { 2 } = 1
48 Occurance | 6 - \frac { 3 } { 2 } x \geq 0
48 Occurance | - 2 \leq s l a n t x < \frac { 5 } { 3 }
48 Occurance | A C = B C = 1
48 Occurance | k = \frac { 7 } { 5 }
48 Occurance | - 6 + m - 1 + 1 0 = 0
48 Occurance | 2 y + z = 0
48 Occurance | \cos C = \frac { 1 } { 2 }
48 Occurance | C = \frac { \pi } { 3 }
48 Occurance | a ^ { 2 } - 1 0 a + 2 4 = 0
47 Occurance | 1 + x = \pm 1 . 7
47 Occurance | A \cup B = B
47 Occurance | y = - \frac { 1 } { a }
47 Occurance | A E = A C
47 Occurance | b = 3
46 Occurance | y = f ( x - 1 )
46 Occurance | A C \perp A E
46 Occurance | c = \sqrt { 7 }
46 Occurance | A B / / C D
46 Occurance | \frac { 1 } { 2 }
45 Occurance | y = - \frac { 3 } { 4 } x + 3
45 Occurance | a < 2
45 Occurance | a \leq - 5
45 Occurance | A D = \sqrt { 6 }
45 Occurance | 4 5 ^ { \circ }
45 Occurance | \cos A = \frac { 1 } { 2 }
45 Occurance | m \geqslant - 4
45 Occurance | ( x - 4 ) ( x - 8 ) = 0
45 Occurance | x _ { 2 } = - 2 . 7
44 Occurance | A C ^ { 2 } + B C ^ { 2 } = A B ^ { 2 }
44 Occurance | x = 4
44 Occurance | a > b
44 Occurance | c = \frac { \pi } { 3 }
44 Occurance | a = \frac { 1 } { 6 }
44 Occurance | m > 0
43 Occurance | x < 1
43 Occurance | \frac { \sqrt { 3 } } { 2 }
43 Occurance | - 2 \leq x < \frac { 5 } { 3 }
43 Occurance | t ^ { 2 } - 4 t + 8 = 0
43 Occurance | 4 < x < 6
43 Occurance | ( x - 1 ) ( x - 2 ) = 0
43 Occurance | x + y - 1 0 = 0
43 Occurance | \vec { n } = ( 1 , 2 , 1 )
43 Occurance | x _ { 2 } = - 3
43 Occurance | 2 x + e ^ { x }
43 Occurance | x \in \left[ 0 , \frac { \pi } { 2 } \right]
43 Occurance | C D \perp A C
42 Occurance | \frac { ( a + b ) ^ { 2 } - 4 a b } { a b ( a - b ) ^ { 2 } }
42 Occurance | F D = F C
42 Occurance | 2 \vec { a } - \vec { b }
42 Occurance | P B \perp B C
42 Occurance | \frac { 1 } { 3 }
42 Occurance | \frac { 4 } { 1 2 } = \frac { 1 } { 3 }
42 Occurance | a ^ { 3 } - 3 a ^ { 2 } - 9 a + 2
42 Occurance | 3 x ^ { 2 } - 3
42 Occurance | A C \perp A B
42 Occurance | b = - 2 a
42 Occurance | e ^ { x } ( x + 2 )
42 Occurance | 3 x
41 Occurance | - \frac { 1 } { a }
41 Occurance | y = \frac { k } { x }
41 Occurance | P E \perp A D
41 Occurance | a ^ { 2 } - 1 0 a - 2 4 = 0
41 Occurance | 1 + 2 x
41 Occurance | 3 \leq s l a n t x < 9
41 Occurance | \frac { 2 \sqrt { 5 } } { 5 }
41 Occurance | x ^ { 2 } - 1 3 x + 3 6 < 0
41 Occurance | \sin \ a n g l e O B C = \frac { 1 } { 3 }
41 Occurance | 2 a - 1 < a + 1
41 Occurance | A C \perp C B
40 Occurance | m \leq \frac { 1 3 } { 4 }
40 Occurance | \sin ( A + B )
40 Occurance | a + 3 \leq s l a n t - 2
40 Occurance | 9 a + 4 = 0
40 Occurance | x ^ { 2 } + 1 < m
40 Occurance | g ( x ) = x ^ { 2 } + 3 x + 2
40 Occurance | a ^ { 2 } - a \neq 0
40 Occurance | B C ^ { 2 } = C E \cdot C P
40 Occurance | x \leq s l a n t 4
40 Occurance | f ^ { \prime } ( x ) = 3 x ^ { 2 } - 3
40 Occurance | M ( 6 , 2 )
40 Occurance | P E \perp C D
39 Occurance | ( t - 2 ) ^ { 2 } = 0
39 Occurance | \ a n g l e B = 6 0 ^ { \circ }
39 Occurance | A B = B C
39 Occurance | a ^ { 2 }
39 Occurance | \sin A = \frac { 2 \sqrt { 2 } } { 3 }
39 Occurance | ( 1 , + \infty )
39 Occurance | y - 2 z = 0
39 Occurance | a ^ { 2 } = b ^ { 2 } + c ^ { 2 }
39 Occurance | m \leq s l a n t \frac { 1 3 } { 4 }
38 Occurance | g ^ { \prime } ( x ) = 2 x + b
38 Occurance | 2 \vec { a } - 3 \vec { b } = ( 1 , - 5 , 8 )
38 Occurance | y _ { 1 } > y _ { 2 }
38 Occurance | \frac { a } { \sin A } = \frac { b } { \sin B } = \frac { c } { \sin C }
38 Occurance | B C = C D
38 Occurance | \sin B + 2 \sin C
38 Occurance | a \geqslant 1
38 Occurance | ( x + 2 ) ^ { 2 } = 9
37 Occurance | a = 0 . 0 2 0
37 Occurance | \frac { 1 } { x }
37 Occurance | x - z = 0
37 Occurance | ( 3 5 - x ) ( 2 6 - x ) = 8 5 0
37 Occurance | a + c = 2 b
37 Occurance | A \in ( 0 , \pi )
37 Occurance | 2 n
37 Occurance | \sqrt { 3 } \sin A = \cos A + 2
37 Occurance | x - 2 \neq 0
37 Occurance | f ( x ) = \frac { 1 } { 2 } x ^ { 2 } - 2 x - 1 + \ln x
37 Occurance | \ a n g l e D B C = 9 0 ^ { \circ }
37 Occurance | B C = 3 \sqrt { 3 }
36 Occurance | y = \frac { m } { x }
36 Occurance | S _ { n } = \frac { n } { 2 }
36 Occurance | ( 1 + x ) ^ { 2 } = 1 . 4 4
36 Occurance | - \frac { 1 } { e ^ { 3 } }
36 Occurance | \cos \theta = \frac { 1 } { 2 }
36 Occurance | m = 0
36 Occurance | a + 3
36 Occurance | - x < 1
36 Occurance | a + b = 5
36 Occurance | x _ { 2 } = - 5
36 Occurance | A _ { 1 } ( 1 , 0 , 2 )
36 Occurance | \frac { 1 } { x } - 1
36 Occurance | \cos A
36 Occurance | 6 5 \pi
36 Occurance | b = 5
35 Occurance | ( 1 + i ) ( m - 2 i )
35 Occurance | 2 x - x \geqslant 2 + 1
35 Occurance | x _ { 2 } = 8
35 Occurance | \frac { c } { a } = \frac { \sqrt { 2 } } { 2 }
35 Occurance | a \geqslant 2
35 Occurance | 1 6 + 4 m \geqslant 0
35 Occurance | e ^ { x } ( x + 3 )
35 Occurance | 4 0 \leq x \leq 9 0
35 Occurance | E ( x )
35 Occurance | \frac { 2 } { 3 }
35 Occurance | - 1 \leq a \leq 1
35 Occurance | \ a n g l e B C A = 9 0 ^ { \circ }
35 Occurance | 2 \sqrt { 2 } x
35 Occurance | x - 2 = 0
35 Occurance | - \frac { b } { 2 a }
35 Occurance | a = 0 . 0 4
35 Occurance | 4 = \frac { k } { 3 }
35 Occurance | n = 2 k + 1
35 Occurance | - 2 y - 2
34 Occurance | A B \perp A D
34 Occurance | A C = 8
34 Occurance | a + b = 0
34 Occurance | P E \perp B C
34 Occurance | B C \cap C D = C
34 Occurance | 3 ( k - 1 ) + 2 k - 4 = 0
34 Occurance | 2 \left( x _ { 1 } + x _ { 2 } \right) + x _ { 1 } x _ { 2 } + 1 0 = 0
34 Occurance | A B = B E
34 Occurance | 7 + 4 \sqrt { 3 }
34 Occurance | \ a n g l e N B M = 6 0 ^ { \circ }
34 Occurance | - 3 a ^ { 2 } + 4 a + 5
34 Occurance | x \neq 2
34 Occurance | \ a n g l e A = 6 0 ^ { \circ }
34 Occurance | m + 1
34 Occurance | a b = 6
34 Occurance | g ( x )
34 Occurance | \ e x i s t s x \in R
34 Occurance | k ^ { 2 }
34 Occurance | x _ { 1 } x _ { 2 } = m - 1
